City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,biograd na moru,43.9433,15.4519,69.76,83,100,37.96,HR,2023-10-31 02:29:43
99,talnakh,69.4865,88.3972,2.21,96,100,4.92,RU,2023-10-31 02:29:43
100,keflavik,64.0049,-22.5624,37.83,75,75,12.66,IS,2023-10-31 02:25:18
101,launceston,-41.45,147.1667,60.44,41,75,10.36,AU,2023-10-31 02:29:43
102,timbuktu,16.7735,-3.0074,84.29,12,100,8.84,ML,2023-10-31 02:29:43
103,buchanan,5.8808,-10.0467,77.65,89,63,1.01,LR,2023-10-31 02:29:43
104,suva,-18.1416,178.4415,83.68,79,75,9.22,FJ,2023-10-31 02:29:43
105,papao,-17.75,-149.55,82.08,83,13,20.98,PF,2023-10-31 02:29:44
106,floro,61.5996,5.0328,41.97,55,0,6.91,NO,2023-10-31 02:29:44
107,dudinka,69.4058,86.1778,2.62,97,99,1.99,RU,2023-10-31 02:24:45
108,shaowu,27.3409,117.4831,72.81,64,6,2.28,CN,2023-10-31 02:29:44
109,san pedro del parana,-26.8333,-56.2,67.26,97,50,4.68,PY,2023-10-31 02:29:44
110,punta arenas,-53.15,-70.9167,37.51,60,0,10.36,CL,2023-10-31 02:27:21
111,am timan,11.0297,20.2827,76.05,49,38,2.68,TD,2023-10-31 02:24:54
112,koge,55.458,12.1821,49.98,96,100,3.44,DK,2023-10-31 02:29:44
113,rock hill,34.9249,-81.0251,70.99,66,0,3.44,US,2023-10-31 02:29:44
114,whitehorse,60.7161,-135.0538,34.57,93,100,5.75,CA,2023-10-31 02:29:44
115,brookings,44.3114,-96.7984,28.4,76,75,26.46,US,2023-10-31 02:29:44
116,trinidad,-14.8333,-64.9,86.34,47,55,8.05,BO,2023-10-31 02:29:45
117,kardla,58.9978,22.7492,35.06,96,100,14.94,EE,2023-10-31 02:29:45
118,miyaly,48.8844,53.7836,38.44,80,91,7.31,KZ,2023-10-31 02:29:45
119,cave creek,33.8333,-111.9508,70.05,20,0,4.0,US,2023-10-31 02:26:59
120,foggia,41.45,15.5333,71.85,77,20,8.05,IT,2023-10-31 02:29:45
121,polyarnyy,69.1989,33.4478,21.97,94,100,13.71,RU,2023-10-31 02:20:00
122,choyr,46.3611,108.3611,29.26,65,81,4.92,MN,2023-10-31 02:29:45
123,bredasdorp,-34.5322,20.0403,56.28,78,0,12.1,ZA,2023-10-31 02:26:34
124,constantia,44.1833,28.65,52.7,80,2,7.25,RO,2023-10-31 02:25:07
125,hithadhoo,-0.6,73.0833,80.33,80,100,10.42,MV,2023-10-31 02:29:45
126,toyohama,34.7,136.9333,73.17,56,1,1.81,JP,2023-10-31 02:29:45
127,keetmanshoop,-26.5833,18.1333,61.72,14,0,3.44,NA,2023-10-31 02:29:45
128,gamay,12.3854,125.2979,81.1,90,81,5.32,PH,2023-10-31 02:29:45
129,mossel bay,-34.1831,22.146,48.13,77,0,13.22,ZA,2023-10-31 02:24:36
130,la passe,45.5549,-0.8967,59.99,84,81,25.39,FR,2023-10-31 02:29:46
131,immendingen,47.9333,8.7333,49.82,81,100,11.01,DE,2023-10-31 02:29:46
132,concepcion del oro,24.6333,-101.4167,58.82,61,16,2.95,MX,2023-10-31 02:29:46
133,preobrazheniye,42.9019,133.9064,58.75,75,9,7.83,RU,2023-10-31 02:29:46
134,howrah,22.5892,88.3103,77.0,83,85,3.44,IN,2023-10-31 02:29:46
135,saudarkrokur,65.7461,-19.6394,28.69,82,68,9.51,IS,2023-10-31 02:29:46
136,bollene,44.2848,4.753,50.11,93,0,2.3,FR,2023-10-31 02:29:46
137,san antonio de pale,-1.4014,5.6325,79.41,84,100,14.43,GQ,2023-10-31 02:29:46
138,guayaramerin,-10.8368,-65.3614,76.39,68,33,2.89,BO,2023-10-31 02:29:46
139,minas de marcona,-15.2119,-75.1103,58.33,86,68,13.0,PE,2023-10-31 02:25:03
140,aasiaat,68.7098,-52.8699,13.78,89,29,9.19,GL,2023-10-31 02:29:47
141,saint-pierre,-21.3393,55.4781,74.88,57,0,9.22,RE,2023-10-31 02:26:46
142,santiago del torno,-17.9833,-63.3833,82.58,62,100,3.83,BO,2023-10-31 02:29:47
143,salta,-24.7859,-65.4117,66.79,78,75,8.05,AR,2023-10-31 02:29:47
144,utrik,11.2278,169.8474,82.8,79,100,17.76,MH,2023-10-31 02:24:40
145,baie-comeau,49.2168,-68.1489,31.68,100,100,3.44,CA,2023-10-31 02:29:47
146,ceelbuur,4.685,46.6176,76.32,88,12,6.13,SO,2023-10-31 02:29:47
147,moyynkum,44.2914,72.9469,52.79,75,100,18.92,KZ,2023-10-31 02:29:48
148,dalbandin,28.8947,64.4101,69.71,28,3,2.95,PK,2023-10-31 02:29:48
149,rabo de peixe,37.8,-25.5833,65.71,99,40,11.5,PT,2023-10-31 02:29:48
150,cabo san lucas,22.8909,-109.9124,80.76,80,40,8.05,MX,2023-10-31 02:29:32
151,midvagur,62.0511,-7.1939,36.43,80,40,6.91,FO,2023-10-31 02:29:48
152,yallahs,17.8748,-76.5624,85.73,81,100,2.28,JM,2023-10-31 02:29:48
153,aldinga beach,-35.2793,138.4604,68.76,46,25,11.16,AU,2023-10-31 02:29:48
154,coquimbo,-29.9533,-71.3436,56.93,82,0,2.3,CL,2023-10-31 02:29:48
155,chernyshevskiy,63.0128,112.4714,-10.32,95,24,2.26,RU,2023-10-31 02:29:48
156,labrador city,52.9463,-66.9114,22.91,68,75,4.61,CA,2023-10-31 02:29:48
157,port douglas,-16.4833,145.4667,78.28,54,97,10.78,AU,2023-10-31 02:29:48
158,tura,25.5198,90.2201,73.65,78,68,1.79,IN,2023-10-31 02:29:49
